,Source,Text,Date,Compound,Positive,Neutral,Negative,Counter
0,@CNN,"NBC News corrects explosive story on Michael Cohen
https://t.co/qFmv4FR9rO",Thu May 03 22:03:05 +0000 2018,0.0,0.0,1.0,0.0,1
1,@CNN,Kim Kardashian West wants this woman released from prison. Hear Alice Marie Johnson's own words on why… https://t.co/JU1Bmfd4RZ,Thu May 03 21:47:29 +0000 2018,-0.5106,0.0,0.837,0.163,2
2,@CNN,"Hosts of a Detroit radio station say they'll no longer play Kanye West's songs, saying they've had enough https://t.co/jPU9iRTnoU",Thu May 03 21:09:07 +0000 2018,0.0516,0.117,0.777,0.107,3
3,@CNN,Twitter is recommending users change their passwords after it discovered a bug that saved user passwords on an inte… https://t.co/IXScrWL5Xt,Thu May 03 20:51:05 +0000 2018,0.4215,0.135,0.865,0.0,4
4,@CNN,President Trump stays silent on adult film star payment storm during event for National Day of Prayer https://t.co/kJEyCmmBdV,Thu May 03 20:40:31 +0000 2018,0.0,0.0,1.0,0.0,5
5,@CNN,"White House press secretary Sarah Sanders says she can't ""verify the validity"" of an NBC report that Michael Cohen… https://t.co/u0UmSk8EUM",Thu May 03 20:29:30 +0000 2018,0.0,0.0,1.0,0.0,6
6,@CNN,Video shows how close an Air Canada flight came to mistakenly landing on a crowded taxiway at San Francisco Interna… https://t.co/qk7iWg3pfB,Thu May 03 20:15:19 +0000 2018,-0.296,0.0,0.896,0.104,7
7,@CNN,BREAKING: Law enforcement sources say they are responding to a shooting at Nashville's Opry Mills Mall… https://t.co/6KHHfl8lDs,Thu May 03 20:06:04 +0000 2018,0.0,0.0,1.0,0.0,8
8,@CNN,These are all the weapons deputies found in the home of a high school student they said had a long hit list… https://t.co/TNyRHOEOYN,Thu May 03 20:01:05 +0000 2018,-0.4404,0.0,0.873,0.127,9
9,@CNN,"Rudy Giuliani bristles at the idea of the special counsel targeting ""a fine woman like"" Ivanka Trump… https://t.co/pfJyxJzR0s",Thu May 03 19:52:09 +0000 2018,0.7184,0.318,0.682,0.0,10
10,@CNN,"Sarah Sanders defends President Trump's shifting story on the circumstances around a $130,000 hush money payment ma… https://t.co/WP8QfDMikx",Thu May 03 19:46:01 +0000 2018,0.0,0.0,1.0,0.0,11
11,@CNN,"They were the only all-female, all-black team in a NASA science competition. Then came the trolls.… https://t.co/nfyEdhaPm7",Thu May 03 19:40:07 +0000 2018,0.0,0.0,1.0,0.0,12
12,@CNN,27 US service members have been killed in noncombat air crashes this year https://t.co/vMLSjhMC9R,Thu May 03 19:31:05 +0000 2018,-0.6705,0.0,0.743,0.257,13
13,@CNN,Rudy Giuliani's other big admission may be even worse | Analysis by Chris Cillizza https://t.co/pxJJnBYmOm https://t.co/CWWnPUiM39,Thu May 03 19:22:02 +0000 2018,-0.4767,0.0,0.819,0.181,14
14,@CNN,"Hundreds of small earthquakes in Hawaii are shaking the eastern side of Big Island, prompting concerns that Kilauea… https://t.co/NaiPg16fG6",Thu May 03 19:10:03 +0000 2018,-0.1779,0.0,0.914,0.086,15
15,@CNN,"Did President Trump lie about the Stormy Daniels payment?

GOP Rep. Charles Dent: “Well, it’s clear that somebody w… https://t.co/1o2hajB6vD",Thu May 03 19:01:19 +0000 2018,0.3818,0.12,0.88,0.0,16
16,@CNN,"RT @CNNPolitics: Sanders on whether the White House was in the dark about the Stormy Daniels hush payment: ""I've given the best information…",Thu May 03 18:55:41 +0000 2018,0.6369,0.16,0.84,0.0,17
17,@CNN,"RT @CNNPolitics: White House press secretary Sarah Sanders on whether the US will remain in the Iran nuclear deal: ""We don't have any annou…",Thu May 03 18:40:25 +0000 2018,0.0,0.0,1.0,0.0,18
18,@CNN,"Sarah Sanders is conducting the White House press briefing. 

- Live updates: https://t.co/DUQ3LOSV1C
- Watch live:… https://t.co/64zRi4SLqg",Thu May 03 18:38:50 +0000 2018,0.0,0.0,1.0,0.0,19
19,@CNN,"The Academy of Motion Pictures Arts and Sciences, the group behind the Academy Awards, has voted to expel actor Bil… https://t.co/A3SJgldpqn",Thu May 03 18:37:04 +0000 2018,0.0258,0.12,0.763,0.116,20
20,@CNN,This is what a Sikh child faces in America | via @CNNopinion https://t.co/dTar9FluCH https://t.co/jMrUN0U2BM,Thu May 03 18:30:05 +0000 2018,0.0,0.0,1.0,0.0,21
21,@CNN,"George H.W. Bush says he has ""not taken up residence"" at the Houston hospital he was admitted to late last month. ""… https://t.co/62Nlse6qYA",Thu May 03 18:20:06 +0000 2018,0.1027,0.06,0.94,0.0,22
22,@CNN,"Carbon dioxide (CO2), the No. 1 greenhouse gas leading to man-made global warming, has reached the highest concentr… https://t.co/8eB1EwrOiE",Thu May 03 18:10:06 +0000 2018,-0.0516,0.149,0.743,0.109,23
23,@CNN,4 words from Rudy Giuliani unwound months of White House misdirection about Stormy Daniels | Analysis by… https://t.co/wO1WJOcloE,Thu May 03 18:00:07 +0000 2018,0.0,0.0,1.0,0.0,24
24,@CNN,"After a mob reportedly beat a couple for being affectionate, protesters gathered at the site to offer free hugs… https://t.co/yVP5gYeGM8",Thu May 03 17:50:07 +0000 2018,0.6486,0.268,0.649,0.082,25
25,@CNN,"At least 100 people have died and nearly 260,000 have been displaced by flooding in Kenya this month, the Kenyan Re… https://t.co/tNIX7TLyF4",Thu May 03 17:40:13 +0000 2018,-0.5574,0.0,0.854,0.146,26
26,@CNN,"The Environmental Protection Agency's top public affairs official Liz Bowman is leaving the agency, which has come… https://t.co/OGGEYppUyK",Thu May 03 17:30:04 +0000 2018,0.2023,0.096,0.904,0.0,27
27,@CNN,"""Just a group of people devoted to the rule of law and the truth"": Former FBI Director James Comey defends the bure… https://t.co/JGUP83maGX",Thu May 03 17:20:05 +0000 2018,0.4019,0.114,0.886,0.0,28
28,@CNN,The Giuliani bomb has hit the White House | Analysis by @CillizzaCNN https://t.co/uKIOEWYh9q https://t.co/37ls4tK980,Thu May 03 17:10:08 +0000 2018,-0.4939,0.0,0.789,0.211,29
29,@CNN,"The release of three US nationals currently detained in North Korea is ""imminent,"" according to an official with kn… https://t.co/XaDn8h2vh7",Thu May 03 17:00:20 +0000 2018,-0.4019,0.0,0.876,0.124,30
30,@CNN,These are all the weapons deputies found in the home of a high school student they said had a long hit list… https://t.co/6opRfkNSLq,Thu May 03 16:50:09 +0000 2018,-0.4404,0.0,0.873,0.127,31
31,@CNN,She joined the Boy Scouts and sparked a sibling rivalry with her brother https://t.co/y3CvHlMvdv https://t.co/RGxZy8ioNt,Thu May 03 16:41:11 +0000 2018,0.0,0.0,1.0,0.0,32
32,@CNN,"One of the horses in Saturday's Kentucky Derby is named Audible. At 7-1 odds, he's even one of the favorites.

And… https://t.co/lpEQrgNvaM",Thu May 03 16:30:18 +0000 2018,0.4215,0.118,0.882,0.0,33
33,@CNN,"The torrent of statements made Wednesday night by Rudy Giuliani caught many White House officials off guard, highli… https://t.co/wlFqqJ64GG",Thu May 03 16:20:16 +0000 2018,0.0,0.0,1.0,0.0,34
34,@CNN,$3 gas is coming to a station near you https://t.co/uGU4nC96gq https://t.co/e84Lu3eUcr,Thu May 03 16:11:58 +0000 2018,0.0,0.0,1.0,0.0,35
35,@CNN,"Allegations of sexual harassment against Charlie Rose were far more numerous than previously reported, according to… https://t.co/5ladLtSoSj",Thu May 03 16:02:20 +0000 2018,-0.5423,0.0,0.821,0.179,36
36,@CNN,President Trump pays tribute to the late Rev. Billy Graham at National Day of Prayer event in the Rose Garden: “Rev… https://t.co/7gXGXuYRb5,Thu May 03 15:49:13 +0000 2018,0.0,0.0,1.0,0.0,37
