iso_code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MAR,1.032,-0.577,-0.759,-0.184,0.622,0.137,-0.605,-0.845,-0.318,-0.624,-0.603
AFG,0.315,-3.619,4.928,-0.425,-0.588,8.745,2.622,-0.542,-0.731,0.367,0.005
AGO,0.102,-2.156,2.172,-2.43,0.193,-1.653,1.268,0.765,-0.488,-0.813,-0.754
ALB,-0.017,1.385,2.654,1.107,0.045,0.917,-0.698,-0.326,-0.47,-0.036,0.232
ARE,-4.442,-3.749,-5.057,-0.8,3.059,1.07,1.743,-0.995,0.831,0.773,-0.806
ARG,1.508,-2.443,-3.396,2.656,-1.983,-3.611,-1.057,-0.813,2.32,-0.062,0.4
ARM,2.649,-3.052,1.45,-1.824,0.094,3.228,-1.3,0.423,0.79,-2.972,3.931
ATG,5.45,-2.119,-5.587,-3.087,-4.108,2.48,-1.746,3.247,1.91,3.349,0.067
AUS,-0.088,0.204,1.115,-0.625,0.952,0.59,-0.309,-0.207,0.099,-0.225,0.061
AUT,0.429,-0.583,0.059,0.234,-0.359,-0.243,-0.36,-0.18,0.326,0.097,0.612
AZE,-3.833,-5.381,1.864,0.341,-1.806,-1.786,2.365,-1.808,-3.393,-0.708,1.108
BDI,-0.053,0.332,0.58,1.274,-0.185,0.251,1.473,-0.243,3.215,-0.529,0
BEL,0.827,-0.625,0.929,1.114,-0.621,0.198,0.11,0.37,0.064,0.021,0.059
BEN,1.952,-0.149,-1.517,-0.72,-0.814,1.347,2.205,0.871,-3.384,-0.632,0.191
BFA,-1.848,1.343,-0.573,4.032,1.743,-0.541,-0.674,-2.333,-1.082,0.715,0.04
BGD,0.688,-1.491,-0.104,0.252,0.174,0.209,0.281,0.103,0.337,0.279,-0.009
BGR,1.383,-0.228,2.914,1.324,-0.585,-0.969,0.362,-0.071,1.917,0.941,-0.038
BHR,1.487,-0.093,-0.499,0.382,0.508,1.744,0.992,0.473,-0.513,1.116,0.673
BHS,-1.654,-3.324,-0.275,1.039,-1.387,0.587,-2.467,-2.443,-4.291,-0.098,-0.5
BIH,0.179,0.094,2.172,0.267,-1.292,-0.707,1.851,0.45,1.024,0.215,0.2
BLR,0.847,1.037,1.321,0.534,0.595,-2.587,-1.132,0.71,-0.274,0.474,1.638
BLZ,-2.996,-0.767,-0.222,1.314,-0.394,1.463,-1.812,2.045,1.583,-0.499,-1.751
BOL,0.614,0.248,0.557,0.086,0.204,0.122,1.396,0.261,0.757,0.564,0
BRA,1.705,-0.14,0.536,0.002,0.216,0.459,0.473,0.206,-0.524,-0.195,0.228
BRB,-2.396,-1.304,-1.032,0.756,-1.044,-0.42,0.137,0.645,-0.052,-0.057,0
BRN,-1.777,-1.484,-2.061,2.153,0.976,-1.748,-3.573,-7.809,0.753,-2.841,1.812
BTN,-9.829,4.202,-2.778,2.48,1.657,-3.486,-2.262,-2.39,-1.539,0.322,0.111
BWA,3.313,0.916,2.694,0.164,-0.191,0.637,7.413,-0.205,-4.287,1.201,-2.311
CAF,0.596,-1.469,-0.691,-0.22,-0.776,0.013,-22.185,0.03,-0.7,-0.66,-0.72
CAN,-0.474,0.276,-0.471,-0.016,1.061,-0.19,0.863,0.584,-0.04,0.257,-0.035
CHE,1.692,0.367,-0.258,-0.035,-0.313,0.143,0.146,1.197,0.17,0.403,0.06
CHL,-0.954,-0.895,0.151,0.812,-0.397,0.381,-0.343,-0.232,0.03,-0.427,0.089
CHN,2.7,-0.139,0.696,0.15,0.027,0.072,0.2,-0.084,0.087,0.132,0.091
CIV,0.112,-0.395,-0.449,-0.96,1.638,1.972,1.264,0.294,0.609,0.358,0.139
CMR,1.102,-0.311,0.61,0.843,0.329,-0.157,0.853,0.805,0.302,-0.353,-0.793
COD,-0.234,-3.766,0.189,1.671,0.348,-0.024,2.263,0.84,-1.525,-1.54,0.643
COG,-5.325,-3.516,0.408,-1.913,-1.603,-1.102,-2.519,0.845,1.631,-4.578,-0.978
COL,0.301,-0.453,1.902,-0.717,1.72,-0.206,1.16,-0.417,0.554,-0.128,0.068
COM,-0.508,0.483,0.779,-0.098,0,0.511,0,-1.971,0,0,-0.803
CPV,2.318,0.701,-4.727,-2.674,-1.586,-3.21,-0.691,-0.408,-2.448,0.184,-0.032
CRI,2.168,0.65,0.529,1.152,0.307,-0.003,-1.231,-0.085,0.568,0.258,-0.6
CYP,1.019,0.464,-1.272,0.904,0.356,-0.806,2.776,1.817,1.529,0.28,0.49
CZE,-0.044,-1.35,-0.484,0.225,-0.202,0.208,-0.119,0.226,1.398,0.142,0.792
DEU,0.931,-1.034,-0.266,0.613,0.993,-0.247,0.108,0.534,-0.005,0.109,0.464
DJI,0.208,-0.054,-3.489,-0.344,2.477,0.024,0,0.501,0,0,-0.3
DMA,3.192,4.515,-2.27,-0.727,-1.133,-1.517,-0.366,2.754,-6.458,1.09,-8.108
DNK,-0.957,-1.516,-2.472,-0.084,-0.175,-0.282,0.852,0.076,0.021,0.954,0.176
DOM,-0.584,-1.452,0.446,2.817,-1.398,-1.25,2.742,2.309,1.541,0.745,-0.19
DZA,-1.404,-2.498,-0.481,-0.227,-0.032,0.827,-0.254,-0.04,0.689,-0.274,0.529
ECU,-0.466,3.361,1.566,0.625,2.091,1.594,0.947,-0.21,0.714,0.689,2.531
EGY,0,-0.077,-0.026,-0.112,0.548,0.264,1.459,0.716,0.178,0.465,0.13
ERI,0.121,-10.991,3.569,0.387,0.543,-0.554,3.51,0.845,2.339,-1.817,1.753
ESP,0.117,-0.258,0.193,0.359,-1.774,-1.39,-0.439,0.068,0.362,0.218,-0.022
EST,-0.285,-3.898,-0.708,0.474,1.048,1.858,0.394,1.665,-0.305,0.542,0.854
ETH,1.268,2.784,2.543,2.6,3.865,1.7,2.898,2.104,1.733,1.508,2.397
FIN,0.88,-1.774,-1.913,0.568,-0.888,-1.613,-0.112,-0.445,-0.261,1.232,0.234
FJI,2.2,-1.5,1.149,1.188,1.154,-0.63,1.706,1.759,-0.455,-2.12,0
FRA,0.51,-0.642,-0.583,0.401,0.427,0.061,0.39,0.577,-0.093,-0.139,0.277
FSM,,-2.445,1.034,,,,-3.596,-3.109,4.095,1.88,-0.026
GAB,1.495,-2.141,-1.324,1.737,1.509,-0.863,-1.125,-0.688,0.346,-1.1,-0.121
GBR,-0.7,-1.461,0.197,-0.007,0.316,1.861,0.619,-0.151,-0.171,0.099,0.131
GEO,1.579,-1.082,0.351,0.749,1.673,-0.189,0.91,-0.41,0.903,-0.556,0.836
GHA,-1.999,2.65,0.313,2.9,0.517,1.113,-0.587,-0.487,0.341,0.385,2.548
GIN,4.962,-0.385,-1.541,1.194,1.659,1.13,0.991,1.258,3.508,2.781,0.001
GMB,-3.404,0.238,2.887,1.536,-9.791,7.219,-1.645,-6.468,-0.376,-0.095,0.52
GNB,0.735,-0.016,1.464,1.14,3.291,1.092,-0.28,-1.663,1.433,0.957,0.5
GNQ,5.171,10.362,6.785,-9.869,-0.57,2.642,-2.681,1.841,1.106,0.183,3.007
GRC,-0.646,-3.491,-3.548,-1.507,-4.132,-1.3,0.953,0.139,1.976,-0.303,-0.404
GRD,3.123,-2.761,-2.632,-1.311,0.765,-1.685,1.554,6.234,3.009,0.716,0.956
GTM,1.504,-1.219,0.126,0.462,1.316,-0.13,0.398,0.774,0.34,-0.433,-0.41
GUY,1.42,-2.623,1.312,1.446,0.18,1.152,-0.106,0.522,-0.106,-0.678,-1.417
HKG,0.736,-1.959,1.164,0.729,-1.175,-0.135,0.125,-0.238,-0.133,0.698,0.287
HND,0.788,0.032,-0.432,1.291,0.372,0.296,-0.008,0.058,0.34,0.152,0.785
HRV,-0.459,-1.723,-2.144,0.035,-1.082,-1.105,-0.05,0.723,1.536,1.266,-0.163
HTI,0.135,-1.656,1.083,3.002,-0.613,-1.615,0.835,-0.947,-1.289,-0.047,0.173
HUN,-1.665,-1.044,0.13,0.109,-0.139,-0.623,1.932,1.428,0.367,0.213,0.789
IDN,0.156,1.365,0.712,0.378,-0.23,-0.01,0.259,-0.153,0.216,0.098,-0.083
IND,0.915,-4.034,3.125,0.592,-1.201,0.596,2.59,1.781,0.896,-0.504,0.024
IRL,0.605,-2.144,2.832,2.034,2.572,-0.312,1.036,4.68,20.64,0.196,3.716
IRN,0.708,-5.582,-1.479,4.17,0.547,-6.774,1.16,1.756,-2.413,8.046,0.819
IRQ,-4.454,-0.741,-0.967,3.761,-2.102,3.766,3.972,3.402,4.822,0.694,-0.347
ISL,7.378,1.356,2,-0.598,-0.582,-1.536,2.402,-0.708,-0.495,2.532,-1.866
ISR,1.066,-1.368,1.543,1.288,0.421,-0.75,0.417,1.011,0.09,1.179,0.237
ITA,-0.266,-0.99,-0.337,0.684,-0.062,-0.527,0.048,0.288,0.15,0.101,-0.037
