,iso_code,country,2007fe,2008fe,2009fe,2010fe,2011fe,2012fe,2013fe,2014fe,2015fe,2016fe,2017fe,abs_val
0,MAR,Morocco,1.032,0.5770000000000001,0.759,0.184,0.622,0.13699999999999998,0.605,0.845,0.318,0.624,0.603,6.305999999999999
1,AFG,Afghanistan,0.315,3.6189999999999998,4.928,0.425,0.588,8.745,2.622,0.542,0.731,0.36700000000000005,0.005,22.887
2,AGO,Angola,0.102,2.156,2.1719999999999997,2.43,0.193,1.653,1.268,0.765,0.488,0.813,0.754,12.794
3,ALB,Albania,0.017,1.385,2.654,1.107,0.045,0.917,0.698,0.326,0.47,0.036000000000000004,0.23199999999999998,7.887
4,ARE,United Arab Emirates,4.442,3.7489999999999997,5.0569999999999995,0.8,3.0589999999999997,1.07,1.743,0.995,0.831,0.773,0.8059999999999999,23.325
5,ARG,Argentina,1.508,2.443,3.3960000000000004,2.656,1.983,3.611,1.057,0.813,2.32,0.062,0.4,20.249
6,ARM,Armenia,2.6489999999999996,3.052,1.45,1.824,0.094,3.228,1.3,0.423,0.79,2.972,3.931,21.713
7,ATG,Antigua and Barbuda,5.45,2.119,5.587000000000001,3.0869999999999997,4.1080000000000005,2.48,1.746,3.247,1.91,3.3489999999999998,0.067,33.15
8,AUS,Australia,0.08800000000000001,0.204,1.115,0.625,0.9520000000000001,0.59,0.309,0.207,0.099,0.225,0.061,4.475
9,AUT,Austria,0.429,0.583,0.059000000000000004,0.23399999999999999,0.359,0.243,0.36,0.18,0.326,0.09699999999999999,0.612,3.482
10,AZE,Azerbaijan,3.833,5.381,1.864,0.341,1.806,1.786,2.365,1.808,3.3930000000000002,0.708,1.1079999999999999,24.393
11,BDI,Burundi,0.053,0.332,0.58,1.274,0.185,0.251,1.473,0.243,3.215,0.529,0.0,8.135
12,BEL,Belgium,0.8270000000000001,0.625,0.929,1.114,0.621,0.198,0.11,0.37,0.064,0.021,0.059000000000000004,4.938000000000001
13,BEN,Benin,1.952,0.149,1.517,0.72,0.8140000000000001,1.347,2.205,0.871,3.384,0.632,0.191,13.782000000000002
14,BFA,Burkina Faso,1.848,1.3430000000000002,0.573,4.032,1.743,0.541,0.674,2.333,1.082,0.715,0.04,14.924
15,BGD,Bangladesh,0.688,1.4909999999999999,0.10400000000000001,0.252,0.174,0.209,0.281,0.10300000000000001,0.337,0.27899999999999997,0.009000000000000001,3.9270000000000005
16,BGR,Bulgaria,1.383,0.228,2.9139999999999997,1.324,0.585,0.9690000000000001,0.36200000000000004,0.071,1.9169999999999998,0.941,0.038,10.732000000000001
17,BHR,Bahrain,1.4869999999999999,0.09300000000000001,0.499,0.382,0.508,1.744,0.992,0.473,0.513,1.1159999999999999,0.6729999999999999,8.479999999999999
18,BHS,"Bahamas, The",1.6540000000000001,3.324,0.275,1.0390000000000001,1.3869999999999998,0.5870000000000001,2.467,2.443,4.291,0.098,0.5,18.064999999999998
19,BIH,Bosnia and Herzegovina,0.179,0.094,2.1719999999999997,0.267,1.2919999999999998,0.7070000000000001,1.851,0.45,1.024,0.215,0.2,8.450999999999999
20,BLR,Belarus,0.847,1.037,1.321,0.534,0.595,2.5869999999999997,1.1320000000000001,0.71,0.27399999999999997,0.474,1.6380000000000001,11.148999999999997
21,BLZ,Belize,2.9960000000000004,0.767,0.222,1.314,0.39399999999999996,1.463,1.8119999999999998,2.045,1.5830000000000002,0.499,1.751,14.846
22,BOL,Bolivia,0.614,0.248,0.557,0.086,0.204,0.122,1.396,0.261,0.757,0.564,0.0,4.809
23,BRA,Brazil,1.705,0.14,0.536,0.002,0.21600000000000003,0.45899999999999996,0.473,0.20600000000000002,0.524,0.195,0.228,4.684
24,BRB,Barbados,2.396,1.304,1.032,0.7559999999999999,1.044,0.42,0.13699999999999998,0.645,0.052000000000000005,0.057,0.0,7.843
25,BRN,Brunei Darussalam,1.777,1.484,2.061,2.153,0.976,1.7480000000000002,3.573,7.809,0.753,2.841,1.8119999999999998,26.987000000000005
26,BTN,Bhutan,9.829,4.202,2.778,2.48,1.6569999999999998,3.486,2.262,2.39,1.5390000000000001,0.322,0.111,31.056000000000004
27,BWA,Botswana,3.313,0.9159999999999999,2.694,0.16399999999999998,0.191,0.637,7.412999999999999,0.205,4.287,1.2009999999999998,2.311,23.332
28,CAF,Central African Republic,0.596,1.469,0.691,0.22,0.7759999999999999,0.013000000000000001,22.185,0.03,0.7,0.66,0.72,28.06
29,CAN,Canada,0.474,0.276,0.47100000000000003,0.016,1.061,0.19,0.863,0.584,0.04,0.257,0.035,4.267
30,CHE,Switzerland,1.692,0.36700000000000005,0.258,0.035,0.313,0.14300000000000002,0.146,1.197,0.17,0.40299999999999997,0.06,4.784
31,CHL,Chile,0.9540000000000001,0.895,0.151,0.812,0.397,0.381,0.34299999999999997,0.23199999999999998,0.03,0.42700000000000005,0.08900000000000001,4.711000000000002
32,CHN,China,2.7,0.139,0.696,0.15,0.027000000000000003,0.07200000000000001,0.2,0.084,0.087,0.132,0.091,4.378
33,CIV,Côte d'Ivoire,0.11199999999999999,0.395,0.449,0.96,1.6380000000000001,1.972,1.264,0.294,0.609,0.358,0.139,8.19
34,CMR,Cameroon,1.102,0.311,0.61,0.843,0.32899999999999996,0.157,0.853,0.805,0.302,0.353,0.7929999999999999,6.457999999999999
35,COD,"Congo, Democratic Republic of the",0.23399999999999999,3.766,0.18899999999999997,1.671,0.348,0.024,2.263,0.84,1.525,1.54,0.643,13.043000000000003
36,COG,"Congo, Republic of",5.325,3.516,0.408,1.913,1.6030000000000002,1.102,2.519,0.845,1.631,4.578,0.978,24.418000000000003
37,COL,Colombia,0.301,0.45299999999999996,1.902,0.7170000000000001,1.72,0.20600000000000002,1.16,0.41700000000000004,0.5539999999999999,0.128,0.068,7.626
38,COM,Comoros,0.508,0.483,0.779,0.098,0.0,0.511,0.0,1.9709999999999999,0.0,0.0,0.8029999999999999,5.153
39,CPV,Cabo Verde,2.318,0.701,4.727,2.674,1.5859999999999999,3.21,0.691,0.408,2.448,0.184,0.032,18.979000000000003
40,CRI,Costa Rica,2.168,0.65,0.529,1.1520000000000001,0.307,0.003,1.2309999999999999,0.085,0.568,0.258,0.6,7.551
41,CYP,Cyprus,1.0190000000000001,0.46399999999999997,1.272,0.904,0.35600000000000004,0.8059999999999999,2.7760000000000002,1.817,1.5290000000000001,0.28,0.49,11.713
42,CZE,Czech Republic,0.044000000000000004,1.35,0.484,0.225,0.20199999999999999,0.20800000000000002,0.11900000000000001,0.226,1.3980000000000001,0.142,0.792,5.19
43,DEU,Germany,0.9309999999999999,1.034,0.266,0.613,0.993,0.247,0.10800000000000001,0.534,0.005,0.109,0.46399999999999997,5.3039999999999985
44,DJI,Djibouti,0.20800000000000002,0.054000000000000006,3.489,0.344,2.477,0.024,0.0,0.501,0.0,0.0,0.3,7.396999999999999
45,DMA,Dominica,3.1919999999999997,4.515,2.27,0.727,1.133,1.517,0.366,2.7539999999999996,6.457999999999999,1.09,8.107999999999999,32.129999999999995
46,DNK,Denmark,0.9570000000000001,1.516,2.472,0.084,0.175,0.282,0.852,0.076,0.021,0.9540000000000001,0.17600000000000002,7.5649999999999995
47,DOM,Dominican Republic,0.584,1.452,0.446,2.8169999999999997,1.3980000000000001,1.25,2.742,2.309,1.541,0.745,0.19,15.474
48,DZA,Algeria,1.4040000000000001,2.498,0.48100000000000004,0.22699999999999998,0.032,0.8270000000000001,0.254,0.04,0.6890000000000001,0.27399999999999997,0.529,7.255000000000001
49,ECU,Ecuador,0.466,3.361,1.5659999999999998,0.625,2.0909999999999997,1.594,0.9470000000000001,0.21,0.7140000000000001,0.6890000000000001,2.531,14.794
